turn,n_count,episode_id,decay_score,topic_label,n_total_in_store
118,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9992774960484334,353f67e4-6ffa-4386-854f-de3da3af850a,117
118,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9992774960206757,ce38e723-859f-41d4-a5a4-2d157af73574,117
118,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9992774960206757,c37f333d-63e0-417f-b8d5-d251477f7eea,117
118,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.999277495992918,a7985c10-d97f-45bb-b3da-11433108ba43,117
118,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9992774959651602,ce38e723-859f-41d4-a5a4-2d157af73574,117
118,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9992774959651602,ce38e723-859f-41d4-a5a4-2d157af73574,117
118,10,4ff36feb-f419-450f-9721-d13044de7d30,1.0,0392b6da-9d7b-4ea6-8331-0b6f03eda641,117
119,10,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.9993370304170692,ce38e723-859f-41d4-a5a4-2d157af73574,118
119,10,85e15072-7f49-471c-823d-fe75fb12ef6c,0.999337030167235,ce38e723-859f-41d4-a5a4-2d157af73574,118
119,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9993370301394756,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,118
119,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9993370301117163,353f67e4-6ffa-4386-854f-de3da3af850a,118
119,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9993370300839569,ce38e723-859f-41d4-a5a4-2d157af73574,118
119,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9993370300561975,c37f333d-63e0-417f-b8d5-d251477f7eea,118
119,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9993370300561975,a7985c10-d97f-45bb-b3da-11433108ba43,118
119,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9993370300284381,ce38e723-859f-41d4-a5a4-2d157af73574,118
119,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9993370300006787,ce38e723-859f-41d4-a5a4-2d157af73574,118
119,10,9a27818d-1c2f-4a18-852e-715b0ab0150d,1.0,ce38e723-859f-41d4-a5a4-2d157af73574,118
120,10,afbac3cb-a246-4194-81ff-1dced270d53b,0.9995865988904628,c46fd36b-5cbf-4d29-9c14-d12a5c67afe1,119
120,10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.9995865988904628,353f67e4-6ffa-4386-854f-de3da3af850a,119
120,10,e35a01bd-c1f8-48c4-9269-c777e93a1227,0.9995865988626965,ce38e723-859f-41d4-a5a4-2d157af73574,119
120,10,4f01f428-cb50-481c-b802-1583664bbea5,0.9995865988349302,c37f333d-63e0-417f-b8d5-d251477f7eea,119
120,10,34187a01-c51d-4bc8-bd9c-90915717980a,0.9995865988349302,a7985c10-d97f-45bb-b3da-11433108ba43,119
120,10,8b691aef-fa36-40e4-87cb-642a1649883a,0.9995865988071639,ce38e723-859f-41d4-a5a4-2d157af73574,119
120,10,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.9995865988071639,ce38e723-859f-41d4-a5a4-2d157af73574,119
120,10,44dba295-1ec9-4979-869d-50326527f9be,1.0,6e4ba6eb-9280-41c8-bdf6-5a58d0c93e9a,119
